,Selecionar as seguintes causas com 4 dígitos (variável no banco CAUSABAS),Selecionar as seguintes causas com 3 dígitos (variável no banco causa3),Nome atribuído à categoria da variável agravo,Nome do subgrupo do agravo
,4,A179,tbsistnerv,
,4,A180,tbossea,
,4,A181,tbgenurin,
,4,A183,tbintestino,
,4,A190,tbmiliar,
,4,A191,tbmiliar,
,4,A192,tbmiliar,
,4,A198,tbmiliar,
,4,A199,tbmiliar,
008 Leptospirose,3,A27,lepto,
016-023 Doenças virais,3,A90,dengue,
,3,A91,dengue,
019 Febre amarela,3,A95,febreamarela,
022 Hepatite viral,4,B150,hepatitea,
,4,B159,hepatitea,
024 Malária (Q4),3,B50,malaria,
,3,B51,malaria,
,3,B52,malaria,
,3,B53,malaria,
,3,B54,malaria,
025 Leishmaniose (Q4),4,B550,leishvisc,
,4,B551,leishteg,
,4,B552,leishteg,
,4,B559,outraleish,
026 Doença de Chagas (Q4),3,B57,chagas,
028 Esquistossomose (Q4),3,B65,esquisto,
029 Cisticercose (Q4),3,B69,cisticercose,
030 Restante de helmintíases (marquei em vermelho o que foi citado no quadro 4),4,B670,equinoco,
,4,B671,equinoco,
,4,B672,equinoco,
,4,B673,equinoco,
,4,B674,equinoco,
,4,B675,equinoco,
,4,B676,equinoco,
,4,B677,equinoco,
,4,B678,equinoco,
,4,B679,equinoco,
,4,B680,teniase,
,4,B681,teniase,
,4,B689,teniase,
,4,B740,filariose,
,4,B741,filariose,
,4,B742,filariose,
,4,B743,filariose,
,4,B744,filariose,
,4,B748,filariose,
,4,B749,filariose,
,4,B760,ancilosto,
,4,B764,ancilosto,
,4,B768,ancilosto,
,4,B770,ascaridiase,
,4,B778,ascaridiase,
,4,B779,ascaridiase,
,4,B780,estrongilo,
,4,B781,estrongilo,
,4,B787,estrongilo,
,4,B789,estrongilo,
,3,B79,tricuriose,
,3,B80,enterobiose,
"031 Restante de algumas doenças
infecciosas e parasitárias",4,A710,tracoma,
,4,A711,tracoma,
,4,A719,tracoma,
,4,B360,micose,
,4,B361,micose,
,4,B362,micose,
,4,B363,micose,
,4,B368,micose,
,4,B369,micose,
,3,B30,conjuntivite,
,3,B35,dermato,
055 Diabetes mellitus,3,E10,diabetesm,
,3,E11,diabetesm,
,3,E12,diabetesm,
,3,E13,diabetesm,
,3,E14,diabetesm,
"058
Transtornos mentais e
comportamentais devidos ao uso de
substância psicoativa

",4,F100,tmusopsico,
,4,F101,tmusopsico,
,4,F102,tmusopsico,
,4,F103,tmusopsico,
,4,F104,tmusopsico,
,4,F105,tmusopsico,
,4,F106,tmusopsico,
,4,F107,tmusopsico,
,4,F108,tmusopsico,
,4,F109,tmusopsico,
,4,F110,tmusopsico,
,4,F111,tmusopsico,
,4,F112,tmusopsico,
,4,F113,tmusopsico,
,4,F114,tmusopsico,
,4,F115,tmusopsico,
,4,F116,tmusopsico,
,4,F117,tmusopsico,
,4,F118,tmusopsico,
,4,F119,tmusopsico,
,4,F120,tmusopsico,
,4,F121,tmusopsico,
,4,F122,tmusopsico,
,4,F123,tmusopsico,
,4,F124,tmusopsico,
,4,F125,tmusopsico,
,4,F126,tmusopsico,
,4,F127,tmusopsico,
,4,F128,tmusopsico,
,4,F129,tmusopsico,
,4,F130,tmusopsico,
,4,F131,tmusopsico,
,4,F132,tmusopsico,
,4,F133,tmusopsico,
,4,F134,tmusopsico,
,4,F135,tmusopsico,
,4,F136,tmusopsico,
,4,F137,tmusopsico,
,4,F138,tmusopsico,
,4,F139,tmusopsico,
,4,F140,tmusopsico,
,4,F141,tmusopsico,
,4,F142,tmusopsico,
,4,F143,tmusopsico,
,4,F144,tmusopsico,
,4,F145,tmusopsico,
,4,F146,tmusopsico,
,4,F147,tmusopsico,
,4,F148,tmusopsico,
,4,F149,tmusopsico,
,4,F150,tmusopsico,
,4,F151,tmusopsico,
,4,F152,tmusopsico,
,4,F153,tmusopsico,
,4,F154,tmusopsico,
,4,F155,tmusopsico,
,4,F156,tmusopsico,
,4,F157,tmusopsico,
,4,F158,tmusopsico,
,4,F159,tmusopsico,
,4,F160,tmusopsico,
,4,F161,tmusopsico,
,4,F162,tmusopsico,
,4,F163,tmusopsico,
,4,F164,tmusopsico,
,4,F165,tmusopsico,
,4,F166,tmusopsico,
,4,F167,tmusopsico,
,4,F168,tmusopsico,
,4,F169,tmusopsico,
,4,F170,tmusopsico,
,4,F171,tmusopsico,
,4,F172,tmusopsico,
,4,F173,tmusopsico,
,4,F174,tmusopsico,
,4,F175,tmusopsico,
,4,F176,tmusopsico,
,4,F177,tmusopsico,
,4,F178,tmusopsico,
,4,F179,tmusopsico,
,4,F180,tmusopsico,
,4,F190,tmusopsico,
,4,F191,tmusopsico,
,4,F192,tmusopsico,
,4,F193,tmusopsico,
,4,F194,tmusopsico,
,4,F195,tmusopsico,
,4,F196,tmusopsico,
,4,F197,tmusopsico,
,4,F198,tmusopsico,
,4,F199,tmusopsico,
"""059 Restante de transtornos mentais e
comportamentais

OUTROS TRANSTORNOS MENTAIS E COMPORTAMENTAIS (q3?)""",3,F30,transtafetivos,
,3,F31,transtafetivos,
,3,F32,transtafetivos,
,3,F33,transtafetivos,
,3,F34,transtafetivos,
,3,F38,transtafetivos,
,3,F39,transtafetivos,
,3,F40,transtneuro,
,3,F41,transtneuro,
,3,F42,transtneuro,
,3,F43,transtneuro,
,3,F44,transtneuro,
,3,F45,transtneuro,
,3,F48,transtneuro,
,3,F49,transtneuro,
064 Doença dos olhos e anexos,3,H10,conjuntivinv,
,3,H11,conjuntivinv,
,3,H13,conjuntivinv,
067 Doenças hipertensivas,3,I10,dhipert,hipertensao
,3,I11,dhipert,
,3,I12,dhipert,
,3,I13,dhipert,
,3,I15,dhipert,
068 Doenças isquêmicas do coração,3,I20,doenisquem,
,3,I21,doenisquem,iamrecor
,3,I22,doenisquem,iamrecor
,3,I23,doenisquem,
,3,I24,doenisquem,
,3,I25,doenisquem,
070 Doenças cerebrovasculares,3,I60,doecv,
,3,I61,doecv,
,3,I62,doecv,
,3,I63,doecv,
,3,I64,doecv,
,3,I65,doecv,
,3,I66,doecv,
,3,I67,doecv,
,3,I68,doecv,
,3,I69,doecv,
"075 Outras infecções agudas das vias
aéreas inferiores",3,J20,outrasdavai,
,3,J21,outrasdavai,
,3,J22,outrasdavai,
"076 Doenças crônicas das vias aéreas
inferiores",3,J40,doencviaaer,bronquite
,3,J41,doencviaaer,bronquite
,3,J42,doencviaaer,bronquite
,3,J43,doencviaaer,bronquite
,3,J44,doencviaaer,bronquite
,3,J45,doencviaaer,asma
,3,J46,doencviaaer,asma
,3,J47,doencviaaer,broncoeq
"77 Restante de doenças do aparelho
respiratório",3,J30,outradoenresp,
,3,J31,outradoenresp,
,3,J32,outradoenresp,
,3,J33,outradoenresp,
,3,J34,outradoenresp,
,3,J35,outradoenresp,
,3,J36,outradoenresp,
,3,J37,outradoenresp,
,3,J38,outradoenresp,
,3,J39,outradoenresp,
,3,J60,pneumoco,
,3,J61,pneumoco,
,3,J62,pneumoco,
,3,J63,pneumoco,
,3,J64,pneumoco,
,3,J65,pneumoco,
"083 Doenças da pele e do tecido subcutâneo

(Quadro 3 - Infecções da pele e tecido subcutâneo 
Outras doenças da pele e tecido subcutâneo - coloquei tudo aqui)",3,L00,doenpele,infecpele
,3,L01,doenpele,infecpele
,4,L010,doenpele,infecpele
,4,L011,doenpele,infecpele
,3,L02,doenpele,infecpele
,4,L020,doenpele,infecpele
,4,L021,doenpele,infecpele
,4,L022,doenpele,infecpele
,4,L023,doenpele,infecpele
,4,L024,doenpele,infecpele
,4,L028,doenpele,infecpele
,4,L029,doenpele,infecpele
,3,L03,doenpele,infecpele
,4,L030,doenpele,infecpele
,4,L031,doenpele,infecpele
,4,L032,doenpele,infecpele
,4,L033,doenpele,infecpele
,4,L038,doenpele,infecpele
,4,L039,doenpele,infecpele
,3,L04,doenpele,infecpele
,4,L040,doenpele,infecpele
,4,L041,doenpele,infecpele
,4,L042,doenpele,infecpele
,4,L043,doenpele,infecpele
,4,L048,doenpele,infecpele
,4,L049,doenpele,infecpele
,3,L05,doenpele,infecpele
,4,L050,doenpele,infecpele
,4,L059,doenpele,infecpele
,3,L08,doenpele,infecpele
,4,L080,doenpele,infecpele
,4,L081,doenpele,infecpele
,4,L088,doenpele,infecpele
,4,L089,doenpele,infecpele
,3,L10,doenpele,
,4,L100,doenpele,
,4,L101,doenpele,
,4,L102,doenpele,
,4,L103,doenpele,
,4,L104,doenpele,
,4,L105,doenpele,
,4,L108,doenpele,
,4,L109,doenpele,
,3,L11,doenpele,
,4,L110,doenpele,
,4,L110,doenpele,
,4,L110,doenpele,
,4,L110,doenpele,
,3,L12,doenpele,
,4,L120,doenpele,
,4,L121,doenpele,
,4,L122,doenpele,
,4,L123,doenpele,
,4,L124,doenpele,
,4,L125,doenpele,
,3,L13,doenpele,
,4,L130,doenpele,
,4,L130,doenpele,
,4,L130,doenpele,
,4,L130,doenpele,
,3,L14,doenpele,
,3,L20,doenpele,
,4,L200,doenpele,
,4,L208,doenpele,
,4,L209,doenpele,
,3,L21,doenpele,
,4,L210,doenpele,
,4,L211,doenpele,
,4,L218,doenpele,
,4,L219,doenpele,
,3,L22,doenpele,
,3,L23,doenpele,
,4,L230,doenpele,
,4,L231,doenpele,
,4,L232,doenpele,
,4,L233,doenpele,
,4,L234,doenpele,
,4,L235,doenpele,
,4,L236,doenpele,
,4,L237,doenpele,
,4,L238,doenpele,
,4,L239,doenpele,
,3,L24,doenpele,
,4,L240,doenpele,
,4,L241,doenpele,
,4,L242,doenpele,
,4,L243,doenpele,
,4,L244,doenpele,
,4,L245,doenpele,
,4,L246,doenpele,
,4,L247,doenpele,
,4,L248,doenpele,
,4,L249,doenpele,
,3,L25,doenpele,
,4,L250,doenpele,
,4,L251,doenpele,
,4,L252,doenpele,
,4,L253,doenpele,
,4,L254,doenpele,
,4,L255,doenpele,
,4,L258,doenpele,
,4,L259,doenpele,
,3,L26,doenpele,
,3,L27,doenpele,
,4,L270,doenpele,
,4,L271,doenpele,
,4,L272,doenpele,
,4,L278,doenpele,
,4,L279,doenpele,
,3,L28,doenpele,
,4,L280,doenpele,
,4,L281,doenpele,
,4,L282,doenpele,
,3,L29,doenpele,
,4,L290,doenpele,
,4,L291,doenpele,
,4,L292,doenpele,
,4,L293,doenpele,
,4,L298,doenpele,
,4,L299,doenpele,
,3,L30,doenpele,
,4,L300,doenpele,
,4,L301,doenpele,
,4,L302,doenpele,
,4,L303,doenpele,
,4,L304,doenpele,
,4,L305,doenpele,
,4,L308,doenpele,
,4,L309,doenpele,
,3,L40,doenpele,
,4,L400,doenpele,
,4,L401,doenpele,
,4,L402,doenpele,
,4,L403,doenpele,
,4,L404,doenpele,
,4,L405,doenpele,
,4,L408,doenpele,
,4,L409,doenpele,
,3,L41,doenpele,
,4,L410,doenpele,
,4,L411,doenpele,
,4,L412,doenpele,
,4,L413,doenpele,
,4,L414,doenpele,
,4,L415,doenpele,
,4,L418,doenpele,
,4,L419,doenpele,
,3,L42,doenpele,
,3,L43,doenpele,
,4,L430,doenpele,
,4,L431,doenpele,
,4,L432,doenpele,
,4,L433,doenpele,
,4,L438,doenpele,
,4,L439,doenpele,
,3,L44,doenpele,
,4,L440,doenpele,
,4,L441,doenpele,
,4,L442,doenpele,
,4,L443,doenpele,
,4,L444,doenpele,
,4,L448,doenpele,
,4,L449,doenpele,
,3,L45,doenpele,
,3,L50,doenpele,
,4,L500,doenpele,
,4,L501,doenpele,
,4,L502,doenpele,
,4,L503,doenpele,
,4,L504,doenpele,
,4,L505,doenpele,
,4,L506,doenpele,
,4,L508,doenpele,
,4,L509,doenpele,
,3,L51,doenpele,
,4,L510,doenpele,
,4,L511,doenpele,
,4,L512,doenpele,
,4,L518,doenpele,
,4,L519,doenpele,
,3,L52,doenpele,
,3,L53,doenpele,
,4,L530,doenpele,
,4,L531,doenpele,
,4,L532,doenpele,
,4,L533,doenpele,
,4,L538,doenpele,
,4,L539,doenpele,
,3,L54,doenpele,
,4,L540,doenpele,
,4,L548,doenpele,
,3,L55,doenpele,
,4,L550,doenpele,
,4,L551,doenpele,
,4,L552,doenpele,
,4,L558,doenpele,
,4,L559,doenpele,
,3,L56,doenpele,
,4,L560,doenpele,
,4,L561,doenpele,
,4,L562,doenpele,
,4,L563,doenpele,
,4,L564,doenpele,
,4,L568,doenpele,
,4,L569,doenpele,
,3,L57,doenpele,
,4,L570,doenpele,
,4,L571,doenpele,
,4,L572,doenpele,
,4,L573,doenpele,
,4,L574,doenpele,
,4,L575,doenpele,
,4,L578,doenpele,
,4,L579,doenpele,
,3,L58,doenpele,
,4,L580,doenpele,
,4,L581,doenpele,
,4,L589,doenpele,
,3,L59,doenpele,
,4,L590,doenpele,
,4,L598,doenpele,
,4,L599,doenpele,
,3,L60,doenpele,
,4,L600,doenpele,
,4,L601,doenpele,
,4,L602,doenpele,
,4,L603,doenpele,
,4,L604,doenpele,
,4,L605,doenpele,
,4,L608,doenpele,
,4,L609,doenpele,
,3,L62,doenpele,
,4,L620,doenpele,
,4,L628,doenpele,
,3,L63,doenpele,
,4,L630,doenpele,
,4,L631,doenpele,
,4,L632,doenpele,
,4,L638,doenpele,
,4,L639,doenpele,
,3,L64,doenpele,
,4,L640,doenpele,
,4,L648,doenpele,
,4,L649,doenpele,
,3,L65,doenpele,
,4,L650,doenpele,
,4,L651,doenpele,
,4,L652,doenpele,
,4,L658,doenpele,
,4,L659,doenpele,
,3,L66,doenpele,
,4,L660,doenpele,
,4,L661,doenpele,
,4,L662,doenpele,
,4,L663,doenpele,
,4,L664,doenpele,
,4,L668,doenpele,
,4,L669,doenpele,
,3,L67,doenpele,
,4,L670,doenpele,
,4,L671,doenpele,
,4,L678,doenpele,
,4,L679,doenpele,
,3,L68,doenpele,
,4,L680,doenpele,
,4,L681,doenpele,
,4,L682,doenpele,
,4,L683,doenpele,
,4,L688,doenpele,
,4,L689,doenpele,
,3,L70,doenpele,
,4,L700,doenpele,
,4,L701,doenpele,
,4,L702,doenpele,
,4,L703,doenpele,
,4,L704,doenpele,
,4,L705,doenpele,
,4,L708,doenpele,
,4,L709,doenpele,
,3,L71,doenpele,
,4,L710,doenpele,
,4,L711,doenpele,
,4,L718,doenpele,
,4,L719,doenpele,
,3,L72,doenpele,
,4,L720,doenpele,
,4,L721,doenpele,
,4,L722,doenpele,
,4,L728,doenpele,
,4,L729,doenpele,
,3,L73,doenpele,
,4,L730,doenpele,
,4,L731,doenpele,
,4,L732,doenpele,
,4,L738,doenpele,
,4,L739,doenpele,
,3,L74,doenpele,
,4,L740,doenpele,
,4,L741,doenpele,
,4,L742,doenpele,
,4,L743,doenpele,
,4,L744,doenpele,
,4,L748,doenpele,
,4,L749,doenpele,
,3,L75,doenpele,
,4,L750,doenpele,
,4,L751,doenpele,
,4,L752,doenpele,
,4,L758,doenpele,
,4,L759,doenpele,
,3,L80,doenpele,outraspele
,3,L81,doenpele,outraspele
,4,L810,doenpele,outraspele
,4,L811,doenpele,outraspele
,4,L812,doenpele,outraspele
,4,L813,doenpele,outraspele
,4,L814,doenpele,outraspele
,4,L815,doenpele,outraspele
,4,L816,doenpele,outraspele
,4,L817,doenpele,outraspele
,4,L818,doenpele,outraspele
,4,L819,doenpele,outraspele
,3,L82,doenpele,outraspele
,3,L83,doenpele,outraspele
,3,L84,doenpele,outraspele
,3,L85,doenpele,outraspele
,4,L850,doenpele,outraspele
,4,L851,doenpele,outraspele
,4,L852,doenpele,outraspele
,4,L853,doenpele,outraspele
,4,L858,doenpele,outraspele
,4,L859,doenpele,outraspele
,3,L86,doenpele,outraspele
,3,L87,doenpele,outraspele
,4,L870,doenpele,outraspele
,4,L871,doenpele,outraspele
,4,L872,doenpele,outraspele
,4,L878,doenpele,outraspele
,4,L879,doenpele,outraspele
,3,L88,doenpele,outraspele
,3,L89,doenpele,outraspele
,3,L90,doenpele,outraspele
,4,L900,doenpele,outraspele
,4,L901,doenpele,outraspele
,4,L902,doenpele,outraspele
,4,L903,doenpele,outraspele
,4,L904,doenpele,outraspele
,4,L905,doenpele,outraspele
,4,L906,doenpele,outraspele
,4,L908,doenpele,outraspele
,4,L909,doenpele,outraspele
,3,L91,doenpele,outraspele
,4,L910,doenpele,outraspele
,4,L918,doenpele,outraspele
,4,L919,doenpele,outraspele
,3,L92,doenpele,outraspele
,4,L920,doenpele,outraspele
,4,L921,doenpele,outraspele
,4,L922,doenpele,outraspele
,4,L923,doenpele,outraspele
,4,L928,doenpele,outraspele
,4,L929,doenpele,outraspele
,3,L93,doenpele,outraspele
,4,L930,doenpele,outraspele
,4,L931,doenpele,outraspele
,4,L932,doenpele,outraspele
,3,L94,doenpele,outraspele
,4,L940,doenpele,outraspele
,4,L941,doenpele,outraspele
,4,L942,doenpele,outraspele
,4,L943,doenpele,outraspele
,4,L944,doenpele,outraspele
,4,L945,doenpele,outraspele
,4,L946,doenpele,outraspele
,4,L948,doenpele,outraspele
,4,L949,doenpele,outraspele
,3,L95,doenpele,outraspele
,4,L950,doenpele,outraspele
,4,L951,doenpele,outraspele
,4,L958,doenpele,outraspele
,4,L959,doenpele,outraspele
,3,L97,doenpele,outraspele
,3,L98,doenpele,outraspele
,4,L980,doenpele,outraspele
,4,L981,doenpele,outraspele
,4,L982,doenpele,outraspele
,4,L983,doenpele,outraspele
,4,L984,doenpele,outraspele
,4,L985,doenpele,outraspele
,4,L986,doenpele,outraspele
,4,L988,doenpele,outraspele
,4,L989,doenpele,outraspele
,3,L99,doenpele,outraspele
,4,L990,doenpele,outraspele
,4,L998,doenpele,outraspele
86,3,N18,insufrenal,
,3,N19,insufrenal,
"097
Restante de algumas afecções
originadas no período perinatal",3,P35,infecespperi,
,3,P36,infecespperi,
,3,P37,infecespperi,
,3,P38,infecespperi,
,3,P39,infecespperi,
outras causas externas de traumatismos acidentais,3,W00,exttrauma,
,3,W01,exttrauma,
,3,W02,exttrauma,
,3,W03,exttrauma,
,3,W04,exttrauma,
,3,W05,exttrauma,
,3,W06,exttrauma,
,3,W07,exttrauma,
,3,W08,exttrauma,
,3,W09,exttrauma,
,3,W10,exttrauma,
,3,W11,exttrauma,
,3,W12,exttrauma,
,3,W13,exttrauma,
,3,W14,exttrauma,
,3,W15,exttrauma,
,3,W16,exttrauma,
,3,W17,exttrauma,
,3,W18,exttrauma,
,3,W19,exttrauma,
,3,W20,exttrauma,
,3,W21,exttrauma,
,3,W22,exttrauma,
,3,W23,exttrauma,
,3,W24,exttrauma,
,3,W25,exttrauma,
,3,W26,exttrauma,
,3,W27,exttrauma,
,3,W28,exttrauma,
,3,W29,exttrauma,
,3,W30,exttrauma,
,3,W31,exttrauma,
,3,W32,exttrauma,
,3,W33,exttrauma,
,3,W34,exttrauma,
,3,W35,exttrauma,
,3,W36,exttrauma,
,3,W37,exttrauma,
,3,W38,exttrauma,
,3,W39,exttrauma,
,3,W40,exttrauma,
,3,W41,exttrauma,
,3,W42,exttrauma,
,3,W43,exttrauma,
,3,W44,exttrauma,
,3,W45,exttrauma,
,3,W46,exttrauma,
,3,W49,exttrauma,
,3,W50,exttrauma,
,3,W51,exttrauma,
,3,W52,exttrauma,
,3,W53,exttrauma,
,3,W54,exttrauma,
,3,W55,exttrauma,
,3,W56,exttrauma,
,3,W57,exttrauma,
,3,W58,exttrauma,
,3,W59,exttrauma,
,3,W60,exttrauma,
,3,W64,exttrauma,
,3,W65,exttrauma,
,3,W66,exttrauma,
,3,W67,exttrauma,
,3,W68,exttrauma,
,3,W69,exttrauma,
,3,W70,exttrauma,
,3,W73,exttrauma,
,3,W74,exttrauma,
,3,W75,exttrauma,
,3,W76,exttrauma,
,3,W77,exttrauma,
,3,W78,exttrauma,
,3,W79,exttrauma,
,3,W80,exttrauma,
,3,W81,exttrauma,
,3,W83,exttrauma,
,3,W84,exttrauma,
,3,W85,exttrauma,
,3,W86,exttrauma,
,3,W87,exttrauma,
,3,W88,exttrauma,
,3,W89,exttrauma,
,3,W90,exttrauma,
,3,W91,exttrauma,
,3,W92,exttrauma,
,3,W93,exttrauma,
,3,W94,exttrauma,
,3,W99,exttrauma,
,3,X00,exttrauma,
,3,X01,exttrauma,
,3,X02,exttrauma,
,3,X03,exttrauma,
,3,X04,exttrauma,
,3,X05,exttrauma,
,3,X06,exttrauma,
,3,X08,exttrauma,
,3,X09,exttrauma,
,3,X10,exttrauma,
,3,X11,exttrauma,
,3,X12,exttrauma,
,3,X13,exttrauma,
,3,X14,exttrauma,
,3,X15,exttrauma,
,3,X16,exttrauma,
,3,X17,exttrauma,
,3,X18,exttrauma,
,3,X19,exttrauma,
,3,X20,exttrauma,
,3,X21,exttrauma,
,3,X22,exttrauma,
,3,X23,exttrauma,
,3,X24,exttrauma,
,3,X25,exttrauma,
,3,X26,exttrauma,
,3,X27,exttrauma,
,3,X28,exttrauma,
,3,X29,exttrauma,
,3,X30,exttrauma,
,3,X31,exttrauma,
,3,X32,exttrauma,
,3,X33,exttrauma,
,3,X34,exttrauma,
,3,X35,exttrauma,
,3,X36,exttrauma,
,3,X37,exttrauma,
,3,X38,exttrauma,
,3,X39,exttrauma,
,3,X40,exttrauma,veneno
,3,X41,exttrauma,veneno
,3,X42,exttrauma,veneno
,3,X43,exttrauma,veneno
,3,X44,exttrauma,veneno
,3,X45,exttrauma,veneno
,3,X46,exttrauma,veneno
,3,X47,exttrauma,veneno
,3,X48,exttrauma,veneno
,3,X49,exttrauma,veneno
,3,X50,exttrauma,
,3,X51,exttrauma,
,3,X52,exttrauma,
,3,X53,exttrauma,
,3,X54,exttrauma,
,3,X57,exttrauma,
,3,X58,exttrauma,
,3,X59,exttrauma,
,3,X85,homicidio,
,3,X86,homicidio,
,3,X87,homicidio,
,3,X88,homicidio,
,3,X89,homicidio,
,3,X90,homicidio,
,3,X91,homicidio,
,3,X92,homicidio,
,3,X93,homicidio,
,3,X94,homicidio,
,3,X95,homicidio,
,3,X96,homicidio,
,3,X97,homicidio,
,3,X98,homicidio,
,3,X99,homicidio,
,3,Y00,homicidio,
,3,Y01,homicidio,
,3,Y02,homicidio,
,3,Y03,homicidio,
,3,Y04,homicidio,
,3,Y05,homicidio,
,3,Y06,homicidio,
,3,Y07,homicidio,
,3,Y08,homicidio,
,3,Y09,homicidio,
eventos fatos cuja intenção é indeterminada,3,Y10,extintind,
,3,Y11,extintind,
,3,Y12,extintind,
,3,Y13,extintind,
,3,Y14,extintind,
,3,Y15,extintind,
,3,Y16,extintind,
,3,Y17,extintind,
,3,Y18,extintind,
,3,Y19,extintind,
,3,Y20,extintind,
,3,Y21,extintind,
,3,Y22,extintind,
,3,Y23,extintind,
,3,Y24,extintind,
,3,Y25,extintind,
,3,Y26,extintind,
,3,Y27,extintind,
,3,Y28,extintind,
,3,Y29,extintind,
,3,Y30,extintind,
,3,Y31,extintind,
,3,Y32,extintind,
,3,Y33,extintind,
,3,Y34,extintind,
,3,Y35,extintind,
sequelas de causas externas de morbidade e de mortalidade,3,Y85,extmorbmort,
,3,Y86,extmorbmort,
,3,Y87,extmorbmort,
,3,Y88,extmorbmort,
,3,Y89,extmorbmort,
causas acidentais,3,V01,acidente,
,3,V02,acidente,
,3,V03,acidente,
,3,V04,acidente,
,3,V05,acidente,
,3,V06,acidente,
,3,V07,acidente,
,3,V08,acidente,
,3,V09,acidente,
,3,V10,acidente,
,3,V11,acidente,
,3,V12,acidente,
,3,V13,acidente,
,3,V14,acidente,
,3,V15,acidente,
,3,V16,acidente,
,3,V17,acidente,
,3,V18,acidente,
,3,V19,acidente,
,3,V20,acidente,
,3,V21,acidente,
,3,V22,acidente,
,3,V23,acidente,
,3,V24,acidente,
,3,V25,acidente,
,3,V26,acidente,
,3,V27,acidente,
,3,V28,acidente,
,3,V29,acidente,
,3,V30,acidente,
,3,V31,acidente,
,3,V32,acidente,
,3,V33,acidente,
,3,V34,acidente,
,3,V35,acidente,
,3,V36,acidente,
,3,V37,acidente,
,3,V38,acidente,
,3,V39,acidente,
,3,V40,acidente,
,3,V41,acidente,
,3,V42,acidente,
,3,V43,acidente,
,3,V44,acidente,
,3,V45,acidente,
,3,V46,acidente,
,3,V47,acidente,
,3,V48,acidente,
,3,V49,acidente,
,3,V50,acidente,
,3,V51,acidente,
,3,V52,acidente,
,3,V53,acidente,
,3,V54,acidente,
,3,V55,acidente,
,3,V56,acidente,
,3,V57,acidente,
,3,V58,acidente,
,3,V59,acidente,
,3,V60,acidente,
,3,V61,acidente,
,3,V62,acidente,
,3,V63,acidente,
,3,V64,acidente,
,3,V65,acidente,
,3,V66,acidente,
,3,V67,acidente,
,3,V68,acidente,
,3,V69,acidente,
,3,V70,acidente,
,3,V71,acidente,
,3,V72,acidente,
,3,V73,acidente,
,3,V74,acidente,
,3,V75,acidente,
,3,V76,acidente,
,3,V77,acidente,
,3,V78,acidente,
,3,V79,acidente,
,3,V80,acidente,
,3,V81,acidente,
,3,V82,acidente,
,3,V83,acidente,
,3,V84,acidente,
,3,V85,acidente,
,3,V86,acidente,
,3,V87,acidente,
,3,V88,acidente,
,3,V89,acidente,
,3,V90,acidente,
,3,V91,acidente,
,3,V92,acidente,
,3,V93,acidente,
,3,V94,acidente,
,3,V95,acidente,
,3,V96,acidente,
,3,V97,acidente,
,3,V98,acidente,
,3,V99,acidente,
,3,X60,suicidio,
,3,X61,suicidio,
,3,X62,suicidio,
,3,X63,suicidio,
,3,X64,suicidio,
,3,X65,suicidio,
,3,X66,suicidio,
,3,X67,suicidio,
,3,X68,suicidio,
